"Jahr";"Stadtbezirk mit zugeordneten Ortschaften";"Stadtraum";"Alter in Jahren bis 85 (über 85-Jährige werden Jahrgang 85 zugeordnet)";"Anzahl Einwohner"
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"0 Jahre";156
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"1 Jahre";114
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"2 Jahre";146
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"3 Jahre";107
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"4 Jahre";110
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"5 Jahre";113
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"6 Jahre";109
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"7 Jahre";95
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"8 Jahre";132
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"9 Jahre";167
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"10 Jahre";198
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"11 Jahre";208
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"12 Jahre";235
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"13 Jahre";192
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"14 Jahre";231
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"15 Jahre";198
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"16 Jahre";217
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"17 Jahre";220
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"18 Jahre";233
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"19 Jahre";311
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"20 Jahre";319
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"21 Jahre";321
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"22 Jahre";335
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"23 Jahre";310
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"24 Jahre";296
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"25 Jahre";289
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"26 Jahre";294
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"27 Jahre";304
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"28 Jahre";334
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"29 Jahre";336
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"30 Jahre";341
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"31 Jahre";343
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"32 Jahre";322
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"33 Jahre";323
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"34 Jahre";348
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"35 Jahre";332
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"36 Jahre";386
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"37 Jahre";344
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"38 Jahre";335
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"39 Jahre";342
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"40 Jahre";336
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"41 Jahre";276
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"42 Jahre";259
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"43 Jahre";277
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"44 Jahre";275
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"45 Jahre";262
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"46 Jahre";252
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"47 Jahre";251
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"48 Jahre";269
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"49 Jahre";272
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"50 Jahre";246
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"51 Jahre";184
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"52 Jahre";225
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"53 Jahre";156
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"54 Jahre";208
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"55 Jahre";285
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"56 Jahre";284
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"57 Jahre";329
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"58 Jahre";407
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"59 Jahre";494
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"60 Jahre";566
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"61 Jahre";611
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"62 Jahre";723
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"63 Jahre";681
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"64 Jahre";783
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"65 Jahre";733
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"66 Jahre";525
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"67 Jahre";501
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"68 Jahre";481
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"69 Jahre";533
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"70 Jahre";477
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"71 Jahre";433
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"72 Jahre";391
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"73 Jahre";388
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"74 Jahre";361
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"75 Jahre";274
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"76 Jahre";298
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"77 Jahre";313
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"78 Jahre";338
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"79 Jahre";362
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"80 Jahre";248
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"81 Jahre";146
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"82 Jahre";148
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"83 Jahre";127
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"84 Jahre";181
"1999";"StB 0 Altstadt";"01 StB Altstadt ohne Johannstadt";"85 Jahre u.älter";1400
"1999";"StB 0 Altstadt";"02 Johannstadt";"0 Jahre";132
"1999";"StB 0 Altstadt";"02 Johannstadt";"1 Jahre";125
"1999";"StB 0 Altstadt";"02 Johannstadt";"2 Jahre";122
"1999";"StB 0 Altstadt";"02 Johannstadt";"3 Jahre";126
"1999";"StB 0 Altstadt";"02 Johannstadt";"4 Jahre";104
"1999";"StB 0 Altstadt";"02 Johannstadt";"5 Jahre";105
"1999";"StB 0 Altstadt";"02 Johannstadt";"6 Jahre";102
"1999";"StB 0 Altstadt";"02 Johannstadt";"7 Jahre";104
"1999";"StB 0 Altstadt";"02 Johannstadt";"8 Jahre";121
"1999";"StB 0 Altstadt";"02 Johannstadt";"9 Jahre";198
"1999";"StB 0 Altstadt";"02 Johannstadt";"10 Jahre";217
"1999";"StB 0 Altstadt";"02 Johannstadt";"11 Jahre";207
"1999";"StB 0 Altstadt";"02 Johannstadt";"12 Jahre";185
"1999";"StB 0 Altstadt";"02 Johannstadt";"13 Jahre";210
"1999";"StB 0 Altstadt";"02 Johannstadt";"14 Jahre";225
"1999";"StB 0 Altstadt";"02 Johannstadt";"15 Jahre";198
"1999";"StB 0 Altstadt";"02 Johannstadt";"16 Jahre";220
"1999";"StB 0 Altstadt";"02 Johannstadt";"17 Jahre";230
"1999";"StB 0 Altstadt";"02 Johannstadt";"18 Jahre";212
"1999";"StB 0 Altstadt";"02 Johannstadt";"19 Jahre";217
"1999";"StB 0 Altstadt";"02 Johannstadt";"20 Jahre";236
"1999";"StB 0 Altstadt";"02 Johannstadt";"21 Jahre";192
"1999";"StB 0 Altstadt";"02 Johannstadt";"22 Jahre";229
"1999";"StB 0 Altstadt";"02 Johannstadt";"23 Jahre";257
"1999";"StB 0 Altstadt";"02 Johannstadt";"24 Jahre";203
"1999";"StB 0 Altstadt";"02 Johannstadt";"25 Jahre";216
"1999";"StB 0 Altstadt";"02 Johannstadt";"26 Jahre";244
"1999";"StB 0 Altstadt";"02 Johannstadt";"27 Jahre";253
"1999";"StB 0 Altstadt";"02 Johannstadt";"28 Jahre";289
"1999";"StB 0 Altstadt";"02 Johannstadt";"29 Jahre";285
"1999";"StB 0 Altstadt";"02 Johannstadt";"30 Jahre";259
"1999";"StB 0 Altstadt";"02 Johannstadt";"31 Jahre";291
"1999";"StB 0 Altstadt";"02 Johannstadt";"32 Jahre";306
"1999";"StB 0 Altstadt";"02 Johannstadt";"33 Jahre";287
"1999";"StB 0 Altstadt";"02 Johannstadt";"34 Jahre";266
"1999";"StB 0 Altstadt";"02 Johannstadt";"35 Jahre";307
"1999";"StB 0 Altstadt";"02 Johannstadt";"36 Jahre";294
"1999";"StB 0 Altstadt";"02 Johannstadt";"37 Jahre";311
"1999";"StB 0 Altstadt";"02 Johannstadt";"38 Jahre";254
"1999";"StB 0 Altstadt";"02 Johannstadt";"39 Jahre";230
"1999";"StB 0 Altstadt";"02 Johannstadt";"40 Jahre";250
"1999";"StB 0 Altstadt";"02 Johannstadt";"41 Jahre";219
"1999";"StB 0 Altstadt";"02 Johannstadt";"42 Jahre";179
"1999";"StB 0 Altstadt";"02 Johannstadt";"43 Jahre";190
"1999";"StB 0 Altstadt";"02 Johannstadt";"44 Jahre";225
"1999";"StB 0 Altstadt";"02 Johannstadt";"45 Jahre";225
"1999";"StB 0 Altstadt";"02 Johannstadt";"46 Jahre";205
"1999";"StB 0 Altstadt";"02 Johannstadt";"47 Jahre";228
"1999";"StB 0 Altstadt";"02 Johannstadt";"48 Jahre";263
"1999";"StB 0 Altstadt";"02 Johannstadt";"49 Jahre";283
"1999";"StB 0 Altstadt";"02 Johannstadt";"50 Jahre";311
"1999";"StB 0 Altstadt";"02 Johannstadt";"51 Jahre";224
"1999";"StB 0 Altstadt";"02 Johannstadt";"52 Jahre";296
"1999";"StB 0 Altstadt";"02 Johannstadt";"53 Jahre";237
"1999";"StB 0 Altstadt";"02 Johannstadt";"54 Jahre";323
"1999";"StB 0 Altstadt";"02 Johannstadt";"55 Jahre";511
"1999";"StB 0 Altstadt";"02 Johannstadt";"56 Jahre";482
"1999";"StB 0 Altstadt";"02 Johannstadt";"57 Jahre";429
"1999";"StB 0 Altstadt";"02 Johannstadt";"58 Jahre";567
"1999";"StB 0 Altstadt";"02 Johannstadt";"59 Jahre";571
"1999";"StB 0 Altstadt";"02 Johannstadt";"60 Jahre";566
"1999";"StB 0 Altstadt";"02 Johannstadt";"61 Jahre";515
"1999";"StB 0 Altstadt";"02 Johannstadt";"62 Jahre";493
"1999";"StB 0 Altstadt";"02 Johannstadt";"63 Jahre";506
"1999";"StB 0 Altstadt";"02 Johannstadt";"64 Jahre";556
"1999";"StB 0 Altstadt";"02 Johannstadt";"65 Jahre";482
"1999";"StB 0 Altstadt";"02 Johannstadt";"66 Jahre";350
"1999";"StB 0 Altstadt";"02 Johannstadt";"67 Jahre";316
"1999";"StB 0 Altstadt";"02 Johannstadt";"68 Jahre";334
"1999";"StB 0 Altstadt";"02 Johannstadt";"69 Jahre";348
"1999";"StB 0 Altstadt";"02 Johannstadt";"70 Jahre";351
"1999";"StB 0 Altstadt";"02 Johannstadt";"71 Jahre";318
"1999";"StB 0 Altstadt";"02 Johannstadt";"72 Jahre";269
"1999";"StB 0 Altstadt";"02 Johannstadt";"73 Jahre";282
"1999";"StB 0 Altstadt";"02 Johannstadt";"74 Jahre";250
"1999";"StB 0 Altstadt";"02 Johannstadt";"75 Jahre";216
"1999";"StB 0 Altstadt";"02 Johannstadt";"76 Jahre";189
"1999";"StB 0 Altstadt";"02 Johannstadt";"77 Jahre";234
"1999";"StB 0 Altstadt";"02 Johannstadt";"78 Jahre";209
"1999";"StB 0 Altstadt";"02 Johannstadt";"79 Jahre";259
"1999";"StB 0 Altstadt";"02 Johannstadt";"80 Jahre";160
"1999";"StB 0 Altstadt";"02 Johannstadt";"81 Jahre";99
"1999";"StB 0 Altstadt";"02 Johannstadt";"82 Jahre";88
"1999";"StB 0 Altstadt";"02 Johannstadt";"83 Jahre";103
"1999";"StB 0 Altstadt";"02 Johannstadt";"84 Jahre";102
"1999";"StB 0 Altstadt";"02 Johannstadt";"85 Jahre u.älter";744
"1999";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"0 Jahre";291
"1999";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"1 Jahre";275
"1999";"StB 1 Neustadt";"03 StB Neustadt ohne Leipziger Vorstadt";"2 Jahre";223
