"Jahr";"Quartal";"AltK_13IRB-2-5-9-14-17-24-29-44-59-64-74-84-";"Geschlecht";"Staatsangehörigkeit-1 Deutsche / Ausländer";"Anzahl Einwohner"
"2000";"2. Quartal";"00 - 02 Jahre";"männlich";"Deutsche";5512
"2000";"2. Quartal";"00 - 02 Jahre";"männlich";"Ausländer";195
"2000";"2. Quartal";"00 - 02 Jahre";"weiblich";"Deutsche";5235
"2000";"2. Quartal";"00 - 02 Jahre";"weiblich";"Ausländer";148
"2000";"2. Quartal";"03 - 05 Jahre";"männlich";"Deutsche";4162
"2000";"2. Quartal";"03 - 05 Jahre";"männlich";"Ausländer";162
"2000";"2. Quartal";"03 - 05 Jahre";"weiblich";"Deutsche";3994
"2000";"2. Quartal";"03 - 05 Jahre";"weiblich";"Ausländer";153
"2000";"2. Quartal";"06 - 09 Jahre";"männlich";"Deutsche";5626
"2000";"2. Quartal";"06 - 09 Jahre";"männlich";"Ausländer";241
"2000";"2. Quartal";"06 - 09 Jahre";"weiblich";"Deutsche";5375
"2000";"2. Quartal";"06 - 09 Jahre";"weiblich";"Ausländer";196
"2000";"2. Quartal";"10 - 14 Jahre";"männlich";"Deutsche";13538
"2000";"2. Quartal";"10 - 14 Jahre";"männlich";"Ausländer";191
"2000";"2. Quartal";"10 - 14 Jahre";"weiblich";"Deutsche";12757
"2000";"2. Quartal";"10 - 14 Jahre";"weiblich";"Ausländer";203
"2000";"2. Quartal";"15 - 17 Jahre";"männlich";"Deutsche";8615
"2000";"2. Quartal";"15 - 17 Jahre";"männlich";"Ausländer";120
"2000";"2. Quartal";"15 - 17 Jahre";"weiblich";"Deutsche";8296
"2000";"2. Quartal";"15 - 17 Jahre";"weiblich";"Ausländer";88
"2000";"2. Quartal";"18 - 24 Jahre";"männlich";"Deutsche";21926
"2000";"2. Quartal";"18 - 24 Jahre";"männlich";"Ausländer";1073
"2000";"2. Quartal";"18 - 24 Jahre";"weiblich";"Deutsche";21305
"2000";"2. Quartal";"18 - 24 Jahre";"weiblich";"Ausländer";907
"2000";"2. Quartal";"25 - 29 Jahre";"männlich";"Deutsche";15617
"2000";"2. Quartal";"25 - 29 Jahre";"männlich";"Ausländer";1402
"2000";"2. Quartal";"25 - 29 Jahre";"weiblich";"Deutsche";14387
"2000";"2. Quartal";"25 - 29 Jahre";"weiblich";"Ausländer";899
"2000";"2. Quartal";"30 - 44 Jahre";"männlich";"Deutsche";52257
"2000";"2. Quartal";"30 - 44 Jahre";"männlich";"Ausländer";3488
"2000";"2. Quartal";"30 - 44 Jahre";"weiblich";"Deutsche";48635
"2000";"2. Quartal";"30 - 44 Jahre";"weiblich";"Ausländer";1570
"2000";"2. Quartal";"45 - 59 Jahre";"männlich";"Deutsche";43945
"2000";"2. Quartal";"45 - 59 Jahre";"männlich";"Ausländer";1011
"2000";"2. Quartal";"45 - 59 Jahre";"weiblich";"Deutsche";47817
"2000";"2. Quartal";"45 - 59 Jahre";"weiblich";"Ausländer";498
"2000";"2. Quartal";"60 - 64 Jahre";"männlich";"Deutsche";16895
"2000";"2. Quartal";"60 - 64 Jahre";"männlich";"Ausländer";127
"2000";"2. Quartal";"60 - 64 Jahre";"weiblich";"Deutsche";18802
"2000";"2. Quartal";"60 - 64 Jahre";"weiblich";"Ausländer";89
"2000";"2. Quartal";"65 - 74 Jahre";"männlich";"Deutsche";20079
"2000";"2. Quartal";"65 - 74 Jahre";"männlich";"Ausländer";101
"2000";"2. Quartal";"65 - 74 Jahre";"weiblich";"Deutsche";25937
"2000";"2. Quartal";"65 - 74 Jahre";"weiblich";"Ausländer";98
"2000";"2. Quartal";"75 - 84 Jahre";"männlich";"Deutsche";7260
"2000";"2. Quartal";"75 - 84 Jahre";"männlich";"Ausländer";31
"2000";"2. Quartal";"75 - 84 Jahre";"weiblich";"Deutsche";18468
"2000";"2. Quartal";"75 - 84 Jahre";"weiblich";"Ausländer";41
"2000";"2. Quartal";"85 Jahre u.älter";"männlich";"Deutsche";2392
"2000";"2. Quartal";"85 Jahre u.älter";"männlich";"Ausländer";9
"2000";"2. Quartal";"85 Jahre u.älter";"weiblich";"Deutsche";8923
"2000";"2. Quartal";"85 Jahre u.älter";"weiblich";"Ausländer";10
"2000";"4. Quartal";"00 - 02 Jahre";"männlich";"Deutsche";5681
"2000";"4. Quartal";"00 - 02 Jahre";"männlich";"Ausländer";190
