"Jahr";"Wohnfläche";"Raumanzahl (durchschnittliche)"
"1993";"gewichtetes Mittel";3
"1993";" 20 - 39 m²";2
"1993";" 40 - 59 m²";2
"1993";" 60 - 79 m²";3
"1993";" 80 - 99 m²";3
"1993";"100 - 119 m²";4
"1993";"120 m² und mehr";5
"1995";"gewichtetes Mittel";3
"1995";" 20 - 39 m²";1
"1995";" 40 - 59 m²";2
"1995";" 60 - 79 m²";3
"1995";" 80 - 99 m²";3
"1995";"100 - 119 m²";4
"1995";"120 m² und mehr";5
"1996";"gewichtetes Mittel";3
"1996";" 20 - 39 m²";1
"1996";" 40 - 59 m²";2
"1996";" 60 - 79 m²";3
"1996";" 80 - 99 m²";4
"1996";"100 - 119 m²";4
"1996";"120 m² und mehr";5
"1998";"gewichtetes Mittel";3
"1998";" 20 - 39 m²";1
"1998";" 40 - 59 m²";2
"1998";" 60 - 79 m²";3
"1998";" 80 - 99 m²";4
"1998";"100 - 119 m²";4
"1998";"120 m² und mehr";5
"2002";"gewichtetes Mittel";3
"2002";" 20 - 39 m²";1
"2002";" 40 - 59 m²";2
"2002";" 60 - 79 m²";3
"2002";" 80 - 99 m²";3
"2002";"100 - 119 m²";4
"2002";"120 m² und mehr";5
"2005";"gewichtetes Mittel";3
"2005";" 20 - 39 m²";1
"2005";" 40 - 59 m²";2
"2005";" 60 - 79 m²";3
"2005";" 80 - 99 m²";3
"2005";"100 - 119 m²";4
"2005";"120 m² und mehr";5
"2007";"gewichtetes Mittel";3
"2007";" 20 - 39 m²";1
"2007";" 40 - 59 m²";2
"2007";" 60 - 79 m²";3
"2007";" 80 - 99 m²";3
"2007";"100 - 119 m²";4
"2007";"120 m² und mehr";5
"2010";"gewichtetes Mittel";3
"2010";" 20 - 39 m²";1
"2010";" 40 - 59 m²";2
"2010";" 60 - 79 m²";3
"2010";" 80 - 99 m²";3
"2010";"100 - 119 m²";4
"2010";"120 m² und mehr";5
"2012";"gewichtetes Mittel";3
"2012";" 20 - 39 m²";1
"2012";" 40 - 59 m²";2
"2012";" 60 - 79 m²";3
"2012";" 80 - 99 m²";3
"2012";"100 - 119 m²";4
"2012";"120 m² und mehr";5
"2014";"gewichtetes Mittel";3
"2014";" 20 - 39 m²";1
"2014";" 40 - 59 m²";2
"2014";" 60 - 79 m²";3
"2014";" 80 - 99 m²";3
"2014";"100 - 119 m²";4
"2014";"120 m² und mehr";5
"2016";"gewichtetes Mittel";3
"2016";" 20 - 39 m²";1
"2016";" 40 - 59 m²";2
"2016";" 60 - 79 m²";3
"2016";" 80 - 99 m²";3
"2016";"100 - 119 m²";4
"2016";"120 m² und mehr";5
"2018";"gewichtetes Mittel";3
"2018";" 20 - 39 m²";1
"2018";" 40 - 59 m²";2
"2018";" 60 - 79 m²";3
"2018";" 80 - 99 m²";3
"2018";"100 - 119 m²";4
"2018";"120 m² und mehr";5
"2020";"gewichtetes Mittel";3
"2020";" 20 - 39 m²";1
"2020";" 40 - 59 m²";2
"2020";" 60 - 79 m²";3
"2020";" 80 - 99 m²";3
"2020";"100 - 119 m²";4
"2020";"120 m² und mehr";5
