"Stichtag";"Jahr";"Amtliche Einwohnerzahl des statistischen Landesamtes Sachsen"
"31.03.";"1999";477533
"31.03.";"2000";476570
"31.03.";"2001";477851
"31.03.";"2002";478521
"31.03.";"2003";480581
"31.03.";"2004";484168
"31.03.";"2005";488005
"31.03.";"2006";499110
"31.03.";"2007";506337
"31.03.";"2008";507722
"31.03.";"2009";512206
"31.03.";"2010";517333
"31.03.";"2011";512354
"31.03.";"2012";518654
"31.03.";"2013";525430
"31.03.";"2014";531231
"31.03.";"2015";535985
"31.03.";"2016";543269
"31.03.";"2017";546774
"31.03.";"2018";550948
"31.03.";"2019";554474
"31.03.";"2020";556042
"31.03.";"2021";555097
"31.03.";"2022";558448
"30.06.";"1999";477650
"30.06.";"2000";476543
"30.06.";"2001";478022
"30.06.";"2002";478988
"30.06.";"2003";481308
"30.06.";"2004";484580
"30.06.";"2005";489245
"30.06.";"2006";500068
"30.06.";"2007";505563
"30.06.";"2008";508398
"30.06.";"2009";512157
"30.06.";"2010";518323
"30.06.";"2011";512424
"30.06.";"2012";519238
"30.06.";"2013";525929
"30.06.";"2014";531982
"30.06.";"2015";536911
"30.06.";"2016";543501
"30.06.";"2017";547289
"30.06.";"2018";551726
"30.06.";"2019";554734
"30.06.";"2020";555459
"30.06.";"2021";554800
"30.06.";"2022";560803
"30.09.";"1999";477287
"30.09.";"2000";476376
"30.09.";"2001";477940
"30.09.";"2002";478897
"30.09.";"2003";482376
"30.09.";"2004";486034
"30.09.";"2005";490763
"30.09.";"2006";503605
"30.09.";"2007";505514
"30.09.";"2008";509450
"30.09.";"2009";513557
"30.09.";"2010";519731
"30.09.";"2011";514332
"30.09.";"2012";521308
"30.09.";"2013";527340
"30.09.";"2014";533536
"30.09.";"2015";538678
"30.09.";"2016";545095
"30.09.";"2017";548834
"30.09.";"2018";553128
"30.09.";"2019";555529
"30.09.";"2020";555371
"30.09.";"2021";554625
"31.12.";"1999";476668
"31.12.";"2000";477807
"31.12.";"2001";478631
"31.12.";"2002";480228
"31.12.";"2003";483632
"31.12.";"2004";487421
"31.12.";"2005";495181
"31.12.";"2006";504795
"31.12.";"2007";507513
"31.12.";"2008";512234
"31.12.";"2009";517052
"31.12.";"2010";523058
"31.12.";"2011";517765
"31.12.";"2012";525105
"31.12.";"2013";530754
"31.12.";"2014";536308
"31.12.";"2015";543825
"31.12.";"2016";547172
"31.12.";"2017";551072
"31.12.";"2018";554649
"31.12.";"2019";556780
"31.12.";"2020";556227
"31.12.";"2021";555351
