"Jahr";"Monat";"Anzahl Arbeitslose - gesamt";"Anzahl Arbeitslose - Frauen";"Anzahl Arbeitslose - 15- bis unter 25 Jahre";"Anzahl Arbeitslose - 55- und älter";"Anzahl Arbeitslose- Langzeitarbeitslose";"Anzahl Arbeitslose - Schwerbehinderte";"Anzahl Arbeitslose - Ausländer";"Arbeitslosenanteil - Frauen";"Arbeitslosenanteil - Langzeitarbeitslose";"Arbeitslosenanteil - Ausländer";"ALO-Quote: alle ziv. EP - gesamt";"ALO-Quote: alle ziv. EP - Männer";"ALO-Quote: alle ziv. EP - Frauen";"ALO-Quote: alle ziv. EP - 15- bis unter 25-Jahre";"ALO-Quote: alle ziv. EP - 55- bis unter 65-Jahre";"ALO-Quote: alle ziv. EP - Ausländer";"ALO-Quote: alle abh. ziv. EP - gesamt";"UB: Personen im weiteren Sinne arbeitslos";"UB: Arbeitslosigkeit im weiteren Sinne";"UB: Personen nahe am Arbeitslosenstatus";"UB: Unterbeschäftigung im engeren Sinne";"UB: Personen fern vom Arbeitslosenstatus";"UB: Unterbeschäftigung im weiteren Sinne (ohne Kurzarbeit)";"Unterbeschäftigungsquote";"Bestand offene Arbeitsstellen"
"2011";"01 ";30392;13447;3495;4905;10476;1239;2076;44,2;34,5;6,8;11,5;12,3;10,7;11,3;13,1;21;12,8;1502;31894;3672;35566;1419;36985;13,9;2049
"2011";"02 ";30194;13267;3545;4864;10361;1258;2087;43,9;34,3;6,9;11,5;12,3;10,5;11,5;13;21,1;12,7;1573;31767;3495;35262;1387;36649;13,8;2305
"2011";"03 ";29426;12957;3389;4805;10218;1258;1982;44;34,7;6,7;11,2;12;10,3;11;12,8;20,1;12,4;1441;30867;3463;34330;1384;35714;13,4;2405
"2011";"04";28228;12649;3198;4614;10017;1233;1940;44,8;35,5;6,9;10,7;11,3;10;10,3;12,3;19,6;11,9;1470;29698;3767;33465;1409;34874;13,1;2492
"2011";"05";26773;12102;2898;4489;9785;1220;1893;45,2;36,5;7,1;10;10,5;9,5;9,5;11,4;18,4;11,2;1584;28357;6096;34453;1385;35838;13,3;2494
"2011";"06";25662;11702;2721;4290;9557;1213;1862;45,6;37,2;7,3;9,6;10;9,2;8,9;10,9;18,1;10,7;1462;27124;6272;33396;1380;34776;12,9;2520
"2011";"07";26167;12145;3211;4279;9534;1249;1871;46,4;36,4;7,2;9,8;10,1;9,5;10,5;10,9;18,2;10,9;1448;27615;6148;33763;1358;35121;13;2596
"2011";"08";25926;12141;3368;4269;9418;1207;1784;46,8;36,3;6,9;9,7;9,9;9,5;11;10,8;17,3;10,8;1605;27531;6037;33568;1339;34907;12,9;2489
"2011";"09";24807;11555;2900;4231;9151;1174;1752;46,6;36,9;7,1;9,3;9,5;9;9,5;10,7;17;10,3;1782;26589;5800;32389;1366;33755;12,5;2524
"2011";"10";24355;11306;2449;4299;9039;1197;1771;46,4;37,1;7,3;9,1;9,4;8,8;8;10,9;17,2;10,2;1840;26195;5591;31786;1361;33147;12,3;2492
"2011";"11";23761;10814;2196;4298;8928;1177;1714;45,5;37,6;7,2;8,9;9,3;8,5;7,2;10,9;16,6;9,9;1861;25622;5583;31205;1385;32590;12,1;2491
"2011";"12";23906;10652;2183;4335;9065;1175;1779;44,6;37,9;7,4;8,9;9,5;8,3;7,1;11;17,3;10;1754;25660;5304;30964;1348;32312;12;2297
"2012";"01 ";25938;11406;2459;4596;9314;1224;1864;44;35,9;7,2;9,7;10,4;8,9;8;11,7;18,1;10,8;1677;27615;5048;32663;1283;33946;12,6;2315
"2012";"02 ";26177;11317;2586;4539;9238;1244;1889;43,2;35,3;7,2;9,8;10,7;8,9;8,4;11,5;18,3;10,9;1629;27806;5261;33067;1254;34321;12,7;2389
"2012";"03 ";25770;11115;2619;4459;9205;1261;1896;43,1;35,7;7,4;9,6;10,5;8,7;8,6;11,3;18,4;10,7;1688;27458;5288;32746;1205;33951;12,6;2493
"2012";"04";25132;11031;2494;4369;9136;1267;1899;43,9;36,4;7,6;9,4;10,1;8,6;8,1;11,1;18,4;10,5;1703;26835;5351;32186;1078;33264;12,3;2520
"2012";"05";24136;10758;2303;4277;8999;1233;1809;44,6;37,3;7,5;8,9;9,5;8,3;7,8;10,4;16,5;9,9;1715;25851;5533;31384;983;32367;11,7;2604
"2012";"06";23466;10505;2155;4164;8890;1229;1763;44,8;37,9;7,5;8,6;9,2;8,1;7,3;10,1;16,1;9,6;1818;25284;5717;31001;913;31914;11,5;2699
"2012";"07";23985;10871;2372;4207;8923;1268;1749;45,3;37,2;7,3;8,8;9,3;8,4;8;10,2;16;9,8;1822;25807;5535;31342;1520;32862;11,9;2571
"2012";"08";24591;11195;2803;4133;9035;1266;1807;45,5;36,7;7,3;9,1;9,5;8,6;9,5;10;16,5;10,1;1884;26475;5360;31835;1417;33252;12;2873
"2012";"09";23682;10704;2477;4103;8942;1198;1864;45,2;37,8;7,9;8,7;9,2;8,2;8,4;10;17;9,7;1904;25586;5540;31126;1380;32506;11,7;2973
"2012";"10";23398;10523;2155;4141;9057;1207;1801;45;38,7;7,7;8,6;9,1;8,1;7,3;10,1;16,4;9,6;1975;25373;5559;30932;1384;32316;11,7;2786
"2012";"11";23144;10326;2056;4099;8979;1176;1771;44,6;38,8;7,7;8,5;9,1;7,9;7;10;16,2;9,5;1957;25101;5725;30826;1424;32250;11,7;2527
"2012";"12";23831;10405;2042;4286;9025;1211;1830;43,7;37,9;7,7;8,8;9,5;8;6,9;10,4;16,7;9,8;1911;25742;5423;31165;1390;32555;11,8;2304
"2013";"01 ";26047;11135;2240;4664;9207;1258;2015;42,7;35,3;7,7;9,6;10,5;8,6;7,6;11,3;18,4;10,7;1803;27850;5081;32931;1277;34208;12,4;2461
"2013";"02 ";26157;11085;2429;4672;9278;1294;2020;42,4;35,5;7,7;9,6;10,7;8,5;8,2;11,3;18,4;10,7;1856;28013;5269;33282;1180;34462;12,5;2496
"2013";"03 ";25841;11019;2445;4634;9186;1261;2045;42,6;35,5;7,9;9,5;10,5;8,5;8,3;11,2;18,7;10,6;1905;27746;5354;33100;1134;34234;12,4;2439
"2013";"04";25325;10848;2408;4516;9114;1284;2017;42,8;36;8;9,3;10,2;8,4;8,1;11;18,4;10,4;1936;27261;5520;32781;1114;33895;12,2;2365
"2013";"05";24273;10572;2210;4431;8963;1281;1955;43,6;36,9;8,1;8,8;9,5;8,1;7,7;10,5;17,4;9,8;1989;26262;5410;31672;1141;32813;11,7;2284
"2013";"06";23521;10326;2046;4372;8769;1283;1919;43,9;37,3;8,2;8,5;9,1;7,9;7,1;10,3;17,1;9,5;2142;25663;5394;31057;1141;32198;11,5;2309
"2013";"07";23446;10451;2233;4336;8649;1312;1886;44,6;36,9;8;8,5;9;8;7,8;10,3;16,8;9,5;2313;25759;5269;31028;1122;32150;11,4;2335
"2013";"08";24109;10870;2631;4312;8695;1337;1949;45,1;36,1;8,1;8,7;9,2;8,3;9,2;10,2;17,3;9,8;2239;26348;5111;31459;1172;32631;11,6;2472
"2013";"09";23521;10614;2311;4274;8623;1323;1960;45,1;36,7;8,3;8,5;8,9;8,1;8,1;10,1;17,4;9,5;2104;25625;5189;30814;1140;31954;11,4;2612
"2013";"10";22828;10219;2002;4246;8457;1322;1942;44,8;37;8,5;8,3;8,7;7,8;7;10;17,3;9,2;2190;25018;5258;30276;1128;31404;11,2;2593
"2013";"11";22694;10083;1830;4233;8409;1297;1923;44,4;37,1;8,5;8,2;8,7;7,7;6,4;10;17,1;9,2;2120;24814;5160;29974;1138;31112;11,1;2438
"2013";"12";23105;10116;1817;4363;8514;1311;1993;43,8;36,8;8,6;8,4;9;7,7;6,3;10,3;17,7;9,3;2056;25161;4818;29979;1166;31145;11,1;2396
"2014";"01 ";24841;10660;1993;4647;8783;1357;2111;42,9;35,4;8,5;9;9,8;8,1;6,9;11;18,8;10;1941;26782;4661;31443;1153;32596;11,6;2398
"2014";"02 ";24922;10626;2068;4618;8702;1353;2099;42,6;34,9;8,4;9;9,9;8,1;7,2;10,9;18,7;10,1;1920;26842;4750;31592;1135;32727;11,6;2550
"2014";"03 ";24640;10590;2037;4582;8728;1355;2077;43;35,4;8,4;8,9;9,7;8,1;7,1;10,8;18,5;10;1937;26577;4711;31288;1154;32442;11,5;2657
"2014";"04";24093;10533;1970;4517;8652;1374;2063;43,7;35,9;8,6;8,7;9,4;8;6,9;10,7;18,4;9,7;1939;26032;4841;30873;1140;32013;11,4;2598
"2014";"05";23623;10396;1845;4531;8765;1337;2064;44;37,1;8,7;8,4;8,9;7,8;6,8;10,4;16,1;9,4;1813;25436;4719;30155;1153;31308;10,9;2520
"2014";"06";23091;10245;1751;4500;8629;1316;2025;44,4;37,4;8,8;8,2;8,7;7,6;6,4;10,3;15,8;9,2;2037;25128;4628;29756;1165;30921;10,8;2751
"2014";"07";22882;10167;1769;4381;8638;1300;2001;44,4;37,8;8,7;8,1;8,6;7,6;6,5;15,6;9,1;9,1;2030;24912;4537;29449;1165;30614;10,7;2970
"2014";"08";23651;10554;2180;4390;8653;1291;2045;44,6;36,6;8,6;8,4;8,9;7,9;8;10;16;9,4;1939;25590;4270;29860;1160;31020;10,8;3057
"2014";"09";23020;10283;1893;4349;8490;1291;2076;44,7;36,9;9;8,2;8,6;7,7;6,9;9,9;16,2;9,1;1973;24993;4164;29157;1146;30303;10,5;3052
"2014";"10";22414;10017;1606;4307;8357;1295;2087;44,7;37,3;9,3;7,9;8,4;7,5;5,9;9,8;16,3;8,9;2046;24460;4105;28565;1106;29671;10,3;3106
"2014";"11";21869;9728;1442;4311;8243;1244;2065;44,5;37,7;9,4;7,8;8,2;7,3;5,3;9,8;16,1;8,7;2167;24036;4118;28154;1080;29234;10,2;2939
"2014";"12";22255;9744;1472;4456;8278;1275;2085;43,8;37,2;9,4;7,9;8,5;7,3;5,4;10,2;16,3;8,8;2059;24314;3767;28081;1064;29145;10,1;2942
